"No.","Time","Source","Destination","Protocol","Length","Info"
"51","20.274744155","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"52","20.581216976","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"53","22.424123963","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0009 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"55","22.732613301","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"56","23.960401586","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0004 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"57","24.268586464","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"58","24.270646693","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"66","29.797247410","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"68","30.105023288","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"73","30.411635178","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"80","33.927207757","192.168.1.46","80.58.61.250","DNS","71","Standard query 0x00cd A mozilla.org"
"81","33.927240408","192.168.1.46","80.58.61.250","DNS","71","Standard query 0xdcd5 AAAA mozilla.org"
"83","33.977830127","80.58.61.250","192.168.1.46","DNS","87","Standard query response 0x00cd A mozilla.org A 63.245.208.195"
"84","33.988118067","80.58.61.250","192.168.1.46","DNS","151","Standard query response 0xdcd5 AAAA mozilla.org SOA infoblox1.private.mdc2.mozilla.com"
"85","33.988600284","192.168.1.46","80.58.61.250","DNS","71","Standard query 0xce27 A mozilla.org"
"86","33.988631097","192.168.1.46","80.58.61.250","DNS","71","Standard query 0xd02e AAAA mozilla.org"
"89","34.036958101","80.58.61.250","192.168.1.46","DNS","87","Standard query response 0xce27 A mozilla.org A 63.245.208.195"
"90","34.046696612","80.58.61.250","192.168.1.46","DNS","151","Standard query response 0xd02e AAAA mozilla.org SOA infoblox1.private.mdc2.mozilla.com"
"93","39.014023176","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"94","39.321172111","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"95","39.323101643","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"96","39.628343493","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"97","39.630677569","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"98","39.632927085","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"99","39.704214192","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"100","39.795071923","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"101","39.823979556","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"103","40.242018500","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"104","40.549177627","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"105","42.192491038","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x000a PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"106","42.195783038","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"107","43.928351042","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0005 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"111","44.236620266","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"112","44.238710386","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"118","50.072389420","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"120","50.379533502","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"121","50.398975287","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"129","58.984412750","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"130","59.103423985","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"131","59.223407964","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"132","59.596403178","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"133","59.598513231","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"134","59.600711404","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"135","59.704500161","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"136","59.796530427","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"137","59.823688980","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"139","60.099759274","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"141","60.399952435","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"144","62.193816575","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x000b PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"145","62.197193726","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"146","63.810844521","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0006 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"147","63.814248267","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"148","63.816631599","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"156","70.040219011","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"158","70.347530300","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"160","70.655344660","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"164","74.721153201","192.168.1.46","80.58.61.250","DNS","76","Standard query 0x740b A publicsuffix.org"
"165","74.721189762","192.168.1.46","80.58.61.250","DNS","76","Standard query 0x9415 AAAA publicsuffix.org"
"166","74.769089910","80.58.61.250","192.168.1.46","DNS","140","Standard query response 0x740b A publicsuffix.org A 13.33.235.119 A 13.33.235.85 A 13.33.235.61 A 13.33.235.81"
"167","74.778449907","80.58.61.250","192.168.1.46","DNS","160","Standard query response 0x9415 AAAA publicsuffix.org SOA ns-787.awsdns-34.net"
"295","79.257084849","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"296","79.258996926","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
